company,signal_type,event_summary,source,date_detected,confidence_score,priority,raw_text,recommended_action
Real Estate Company,litigation,Contractor Lawsuit Against MassDOT and Real Estate Company Over Fenway ...,//duckduckgo.com/l/?uddg=https%3A%2F%2Flegalnewsfeed.com%2F2025%2F08%2F29%2Fcontractor%2Dlawsuit%2Dagainst%2Dmassdot%2Dand%2Dreal%2Destate%2Dcompany%2Dover%2Dfenway%2Dcenter%2Dpayments%2Dhighlights%2Dlegal%2Dchallenges%2Din%2Dboston%2Ddevelopments%2F&rut=a527e10856d823f5c6144e4a69d0efe904669c629757c901d69d2634665e092b,1970-01-01,5,HIGH,"Contractor Lawsuit Against MassDOT and Real Estate Company Over Fenway ... A contractor has initiated legal proceedings against a real estate company and the Massachusetts Department of Transportation (MassDOT), alleging non-payment for work completed on a project in the Fenway area of Boston. The lawsuit, filed in Suffolk Superior Court, claims that the contractor has not received full compensation for services rendered during the development. The…",CALL NOW
Horry County,litigation,Lawsuit claims company owed $300K for work on new Horry County ...,//duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.wmbfnews.com%2F2024%2F09%2F20%2Flawsuit%2Dpauses%2Dconstruction%2Dnew%2Dhorry%2Dcounty%2Dgovernment%2Dbuilding%2Dcarolina%2Dforest%2F&rut=e44857561d862c76e42aec0d162d06fdcee77f7a847ea500b4cc48613a73ebb7,1970-01-01,5,HIGH,Lawsuit claims company owed $300K for work on new Horry County ... The company behind a lawsuit involving a major Horry County construction project claims it wants to put tax dollars back to work.,CALL NOW
L Stacks Construction,litigation,I-81 contractor denies allegations of discrimination in lawsuit by ...,//duckduckgo.com/l/?uddg=https%3A%2F%2Fcentralcurrent.org%2Fi%2D81%2Dcontractor%2Ddenies%2Dallegations%2Dof%2Ddiscrimination%2Din%2Dlawsuit%2Dby%2Dblack%2Downed%2Dsyracuse%2Dtrucking%2Dcompany%2F&rut=3d5855c10a259992db8bfe5755f52740a324396cd9cd7a2cf3ec4e99453edebb,1970-01-01,5,HIGH,"I-81 contractor denies allegations of discrimination in lawsuit by ... Contractors involved in the state's Interstate 81 viaduct project denied allegations of racial discrimination levied in a lawsuit by the owner of a Syracuse-based trucking company. Larry Stackhouse, the owner of L Stacks Construction Co. LLC, in January accused Salt City Constructors of sidelining his company in favor of non-minority contractors. His lawyers wrote in the complaint that Salt ...",CALL NOW
Justia Construction,litigation,Justia Construction Law Opinion Summaries,//duckduckgo.com/l/?uddg=https%3A%2F%2Fconstructionlawopinions.justia.com%2F&rut=342ea136e2ecf9b9298fa7d7e9b42f5b023ea65ebca74569b7e6f0826272805b,1970-01-01,5,HIGH,"Justia Construction Law Opinion Summaries A black-owned construction company was not invited to bid as general contractor on a major Boston public housing redevelopment project after participating in pre-construction work. Years earlier, the developer had called the company's president to discuss possible involvement, but the parties disputed what promises, if any, were made during that conversation. The construction company ...",CALL NOW
Will Claims By Contractors,litigation,Will Claims By Contractors on Big Design-Build Projects Ever End?,//duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.enr.com%2Farticles%2F55886%2Dwill%2Dclaims%2Dby%2Dcontractors%2Don%2Dbig%2Ddesign%2Dbuild%2Dprojects%2Dever%2Dend&rut=66e8648ed9be60dbeb20f5d0a46658a071ece0845fa8b1cee1780babf3b245a2,1970-01-01,5,HIGH,Will Claims By Contractors on Big Design-Build Projects Ever End? Construction firms have been trying to make up losses or overruns with either lawsuits against their engineering partners or claims under professional insurance policies.,CALL NOW
A Guide,litigation,Mechanic's Liens: A Guide for Contractors and Subcontractors - Nolo,//duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.nolo.com%2Flegal%2Dencyclopedia%2Fmechanics%2Dliens%2Da%2Dguide%2Dfor%2Dcontractors%2Dand%2Dsubcontractors.html&rut=1b6e27fc19631bf47a59405a667eab09a5d8a94fffa00e45283de69bee1397bb,1970-01-01,5,HIGH,"Mechanic's Liens: A Guide for Contractors and Subcontractors - Nolo How mechanics' liens help contractors, subcontractors, and suppliers recover money for work, labor, materials, or services related to repairing or improving a piece of real property.",CALL NOW
Subcontractor Claims,project_distress,Construction Delay Litigation and Subcontractor Claims: Lessons from ...,//duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.forensisgroup.com%2Fresources%2Fexpert%2Dlegal%2Dwitness%2Dblog%2Fconstruction%2Ddelay%2Dlitigation%2Dand%2Dsubcontractor%2Dclaims%2Dlessons%2Dfrom%2Dflatiron%2Dlane%2Dv%2Dcase%2Datlantic&rut=b2ad0c79f34cabce2436cd71def2408bf649519e2c6c09115f0e1275dfca8a18,1970-01-01,5,HIGH,"Construction Delay Litigation and Subcontractor Claims: Lessons from ... Construction Delay Disputes in Public Works: Lessons from Flatiron-Lane v. Case Atlantic Explore key legal and engineering insights from Flatiron-Lane v. Case Atlantic, a federal case involving geotechnical uncertainty, subcontractor claims, and CPM scheduling analysis in a major infrastructure project. Learn how expert testimony shaped the court's ruling on delay responsibility in this ...",CALL NOW
Trump Group,project_distress,Trump Group Sued Over Condo Defects in Sunny Isles Beach,//duckduckgo.com/l/?uddg=https%3A%2F%2Ftherealdeal.com%2Fmiami%2F2026%2F03%2F26%2Ftrump%2Dgroup%2Dsued%2Dover%2Dcondo%2Ddefects%2Din%2Dsunny%2Disles%2Dbeach%2F&rut=15146a01ead06a78c0aa2889490669e463af8e09356d3f1fcb7da676ca03cc77,1970-01-01,5,HIGH,"Trump Group Sued Over Condo Defects in Sunny Isles Beach A pair of buyers at a Sunny Isles Beach condo project are suing developer Trump Group over alleged construction defects and delays that one of them claims were a ""complete disaster."" In ...",CALL NOW
Ellison Construction,project_distress,"Ellison Construction sued by Backstreets, DDA over delays - Tampa Bay ...",//duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.bizjournals.com%2Ftampabay%2Fnews%2F2026%2F02%2F18%2Fnolen%2Ddda%2Dbackstreets%2Dellison%2Ddevelopment%2Dlawsuit.html&rut=beb3a38f715ba43a2cab6314bfa54557a7a115772bd36bfbe43a38b74967cc55,1970-01-01,4,HIGH,"Ellison Construction sued by Backstreets, DDA over delays - Tampa Bay ... Developers behind St. Petersburg's Nolen tower and Central project are locked in disputes over construction delays and millions in unpaid work.",CALL NOW
Rival Tampa Bay,project_distress,Rival Tampa Bay developers go to court over construction delays,//duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.tampabay.com%2Fnews%2Freal%2Destate%2F2026%2F02%2F24%2Frival%2Dtampa%2Dbay%2Ddevelopers%2Dgo%2Dcourt%2Dover%2Dconstruction%2Ddelays%2F&rut=e4ed138a62d249aad92f91d23ec895e7fd6d3a0b2ceb53ba97b37d1cbd7572fa,1970-01-01,4,HIGH,Rival Tampa Bay developers go to court over construction delays Two influential local developers are going head-to-head in court over construction delays at projects they partnered on in St Petersburg.,CALL NOW
